ticker,fy,revenue_bn,gross_profit_bn,operating_income_bn,net_income_bn,total_assets_bn,total_liabilities_bn,equity_bn,operating_cash_flow_bn,capex_bn,free_cash_flow_bn
MSFT,2021,168.09,115.86,69.92,61.27,333.78,191.79,141.99,76.74,20.62,56.12
MSFT,2022,198.27,135.62,83.38,72.74,364.84,198.3,166.54,89.04,23.89,65.15
MSFT,2023,211.92,146.05,88.52,72.36,411.98,205.75,206.22,87.58,28.11,59.48
MSFT,2024,245.12,171.01,109.43,88.14,512.16,243.69,268.48,118.55,44.48,74.07
MSFT,2025,281.72,193.89,128.53,101.83,619.0,275.52,343.48,136.16,64.55,71.61
